Time,Temperature,Pressure,Humidity,eCO2,AirQualityPercent,AirQualityScore
2023-01-23 10:09:53,30.96,103060,15,693,83,85
2023-01-23 10:07:36,28.59,103058,18,579,86,70
2023-01-23 10:03:54,28.98,103056,17,830,80,100
2023-01-23 09:54:07,28.81,103044,17,830,80,100
2023-01-23 09:52:12,29.49,103050,17,830,80,100
2023-01-23 09:49:49,28.74,103050,17,830,80,100
2023-01-23 09:46:26,30.01,103044,16,830,80,100
2023-01-23 09:45:53,30.37,103038,16,830,80,100
2023-01-23 09:43:45,28.28,103034,17,830,80,100
2023-01-23 09:42:17,28.69,103033,17,781,81,95
2023-01-23 09:35:27,28.18,103042,17,781,81,95
2023-01-23 09:27:03,27.01,103054,18,693,83,85
2023-01-23 09:24:43,27.57,103054,18,652,84,80
2023-01-23 09:19:01,27.08,103050,18,579,86,70
2023-01-20 14:45:46,31.44,101381,16,5331,49,255
2023-01-20 14:43:11,31.71,101375,16,6011,47,265
2023-01-20 14:41:52,31.48,101375,16,5661,48,260
2023-01-20 14:37:25,32.55,101371,14,7197,44,280
2023-01-20 14:36:51,34.33,101367,13,7642,43,285
2023-01-20 14:36:18,35.2,101371,13,6778,45,275
2023-01-20 14:35:00,33.95,101365,13,6011,47,265
2023-01-20 14:02:14,32.46,101299,14,9715,39,305
2023-01-20 14:01:55,32.34,101297,14,4728,51,245
2023-01-20 13:54:14,33.9,101295,13,5661,48,260
2023-01-20 13:52:11,32.68,101297,14,5661,48,260
2023-01-20 13:51:12,32.66,101297,14,5661,48,260
2023-01-20 13:47:46,33.05,101297,14,6011,47,265
2023-01-20 13:46:10,32.42,101294,14,6011,47,265
2023-01-20 13:44:25,31.92,101290,14,5661,48,260
2023-01-20 13:38:44,31.65,101282,15,6011,47,265
2023-01-20 13:33:32,31.66,101272,16,6383,46,270
2023-01-20 13:30:31,30.85,101268,17,7197,44,280
2023-01-20 13:29:44,31.01,101266,16,7642,43,285
2023-01-20 13:29:00,31.49,101266,16,7197,44,280
2023-01-20 13:27:39,31.15,101262,16,6778,45,275
2023-01-20 13:22:36,30.8,101262,17,6011,47,265
2023-01-20 12:24:19,33.18,101256,14,9715,39,305
2023-01-20 12:23:55,33.01,101256,15,6383,46,270
2023-01-20 12:16:59,32.65,101254,14,8616,41,295
2023-01-20 12:15:45,32.32,101254,16,7642,43,285
2023-01-20 12:11:40,27.55,101250,20,8114,42,290
2023-01-20 12:08:05,35.66,101248,12,10954,37,315
2023-01-20 12:07:50,35.54,101247,13,8616,41,295
2023-01-20 12:07:31,34.91,101248,13,8114,42,290
2023-01-20 12:06:17,33.01,101248,14,8114,42,290
2023-01-20 12:04:40,29.6,101250,17,7197,44,280
2023-01-20 12:01:01,32.87,101245,14,9149,40,300
2023-01-20 11:59:54,35.16,101241,13,9149,40,300
2023-01-20 11:58:03,32.48,101245,16,8114,42,290
2023-01-20 11:57:15,31.25,101241,17,7642,43,285
2023-01-20 11:56:34,31.61,101241,16,6383,46,270
2023-01-20 11:40:55,26.54,101243,22,6011,47,265
2023-01-20 11:23:25,27.06,101235,20,8114,42,290
2023-01-20 11:22:40,27.26,101231,20,8114,42,290
2023-01-20 11:21:21,27.08,101231,20,7197,44,280
2023-01-20 11:17:42,25.82,101225,23,6383,46,270
2023-01-20 11:12:24,22.18,101217,28,3949,54,230
2023-01-19 16:17:51,27.86,100108,18,2595,61,195
2023-01-19 16:16:36,27.81,100108,18,2444,62,190
2023-01-19 16:14:44,28.05,100104,18,2595,61,195
2023-01-19 16:13:12,28.14,100108,17,2167,64,180
2023-01-19 16:01:16,27.53,100096,18,3299,57,215
2023-01-19 16:00:27,27.85,100094,17,3107,58,210
2023-01-19 15:52:54,28.27,100069,17,7642,43,285
2023-01-19 15:48:34,28.47,100065,16,1605,69,155
2023-01-19 15:44:31,28.26,100061,16,1263,73,135
2023-01-19 15:24:27,27.9,100021,17,1512,70,150
2023-01-19 15:04:51,29.02,99994,17,3107,58,210
2023-01-19 15:03:44,29.38,99994,17,3299,57,215
2023-01-19 15:02:26,28.8,99996,18,3107,58,210
2023-01-19 15:01:18,29.38,99992,17,2595,61,195
2023-01-19 14:32:40,31.08,99968,17,2755,60,200
2023-01-19 14:22:23,32.36,99970,16,3107,58,210
2023-01-19 14:18:45,30.97,99970,17,5331,49,255
2023-01-19 14:14:38,30.75,99972,17,5331,49,255
2023-01-19 14:14:27,30.72,99968,17,2444,62,190
2023-01-19 14:12:05,30.3,99964,18,2595,61,195
2023-01-19 14:10:26,30.03,99968,18,2755,60,200
2023-01-19 14:09:32,29.81,99972,18,2755,60,200
2023-01-19 14:08:01,30.07,99970,18,2595,61,195
2023-01-19 14:05:09,30.69,99972,17,2595,61,195
2023-01-19 13:53:40,29.16,99970,22,3541,65,175
2023-01-19 13:53:36,29.93,99970,18,3107,58,210
2023-01-19 13:53:31,30.58,99970,17,3949,54,230
2023-01-19 13:53:28,30.59,99970,17,5331,49,255
2023-01-19 13:53:03,30.64,99968,17,6778,45,275
2023-01-19 13:52:50,30.62,99968,17,7642,43,285
2023-01-19 13:52:43,30.58,99970,17,3107,58,210
2023-01-19 13:51:16,30.86,99970,17,3107,58,210
2023-01-19 13:49:25,30.98,99970,17,3299,57,215
2023-01-19 13:48:15,30.52,99966,17,3299,57,215
2023-01-19 13:47:29,30.25,99966,17,2595,61,195
2023-01-19 13:39:41,29.85,99970,18,3107,58,210
2023-01-19 13:38:33,30.66,99970,17,3107,58,210
2023-01-19 13:36:28,30.12,99966,18,3299,57,215
2023-01-19 13:35:41,30.13,99964,18,2926,59,205
2023-01-19 13:32:30,30.22,99961,17,3503,56,220
2023-01-19 13:31:44,30.1,99955,18,2755,60,200
2023-01-19 13:23:45,30.75,99945,17,3719,55,225
2023-01-19 13:23:15,30.47,99945,17,3949,54,230
2023-01-19 13:22:51,30.18,99941,18,3503,56,220
2023-01-19 13:22:28,30.12,99943,18,3107,58,210
2023-01-19 13:20:17,29.93,99941,18,3107,58,210
2023-01-19 13:17:10,29.53,99945,18,3299,57,215
2023-01-19 13:14:59,29.68,99945,18,3299,57,215
2023-01-19 13:12:39,29.42,99945,18,3107,58,210
2023-01-19 13:06:53,29.4,99951,18,3299,57,215
2023-01-19 13:03:16,29.41,99949,18,3503,56,220
2023-01-19 13:02:13,28.93,99949,19,2444,62,190
2023-01-19 12:30:22,29.85,99955,18,2595,61,195
2023-01-19 12:25:39,30.06,99951,18,3107,58,210
2023-01-19 12:24:39,29.98,99953,17,3299,57,215
2023-01-19 12:23:54,30.01,99955,18,3107,58,210
2023-01-19 12:23:26,29.99,99957,18,2167,64,180
2023-01-19 11:41:30,29.79,99943,18,1263,73,135
2023-01-19 11:39:48,29.74,99943,18,1263,73,135
2023-01-19 11:38:23,29.8,99941,18,1263,73,135
2023-01-19 11:35:09,29.54,99941,18,2444,62,190
2023-01-19 11:35:02,29.53,99939,18,1189,74,130
2023-01-19 11:34:20,29.78,99943,17,1263,73,135
2023-01-19 11:33:42,29.66,99945,18,1263,73,135
2023-01-19 11:31:38,29.52,99947,18,1424,71,145
2023-01-19 11:30:49,29.51,99951,18,2755,60,200
2023-01-19 11:30:33,29.46,99949,18,1424,71,145
2023-01-19 11:26:40,28.83,99959,18,2301,63,185
2023-01-19 11:21:09,28.21,99976,27,579,86,70
2023-01-19 11:21:05,28.06,99974,28,935,78,110
2023-01-19 11:21:01,27.93,99974,29,2924,71,145
2023-01-19 11:20:52,27.88,99976,23,4255,60,200
2023-01-19 11:15:50,27.75,99978,19,1705,68,160
