id,sensorType,sensorValue,created
973,AirQualityScore,85,2023-01-23 10:09:53
972,AirQualityPercent,83,2023-01-23 10:09:53
971,eCO2,693,2023-01-23 10:09:53
970,Humidity,15,2023-01-23 10:09:53
969,Pressure,103060,2023-01-23 10:09:53
968,Temperature,30.96,2023-01-23 10:09:53
967,AirQualityScore,70,2023-01-23 10:07:36
966,AirQualityPercent,86,2023-01-23 10:07:36
965,eCO2,579,2023-01-23 10:07:36
964,Humidity,18,2023-01-23 10:07:36
963,Pressure,103058,2023-01-23 10:07:36
962,Temperature,28.59,2023-01-23 10:07:36
961,AirQualityScore,100,2023-01-23 10:03:54
960,AirQualityPercent,80,2023-01-23 10:03:54
959,eCO2,830,2023-01-23 10:03:54
958,Humidity,17,2023-01-23 10:03:54
957,Pressure,103056,2023-01-23 10:03:54
956,Temperature,28.98,2023-01-23 10:03:54
955,AirQualityScore,100,2023-01-23 09:54:07
954,AirQualityPercent,80,2023-01-23 09:54:07
953,eCO2,830,2023-01-23 09:54:07
952,Humidity,17,2023-01-23 09:54:07
951,Pressure,103044,2023-01-23 09:54:07
950,Temperature,28.81,2023-01-23 09:54:07
949,AirQualityScore,100,2023-01-23 09:52:12
948,AirQualityPercent,80,2023-01-23 09:52:12
947,eCO2,830,2023-01-23 09:52:12
946,Humidity,17,2023-01-23 09:52:12
945,Pressure,103050,2023-01-23 09:52:12
944,Temperature,29.49,2023-01-23 09:52:12
943,AirQualityScore,100,2023-01-23 09:49:49
942,AirQualityPercent,80,2023-01-23 09:49:49
941,eCO2,830,2023-01-23 09:49:49
940,Humidity,17,2023-01-23 09:49:49
939,Pressure,103050,2023-01-23 09:49:49
938,Temperature,28.74,2023-01-23 09:49:49
937,AirQualityScore,100,2023-01-23 09:46:26
936,AirQualityPercent,80,2023-01-23 09:46:26
935,eCO2,830,2023-01-23 09:46:26
934,Humidity,16,2023-01-23 09:46:26
933,Pressure,103044,2023-01-23 09:46:26
932,Temperature,30.01,2023-01-23 09:46:26
931,AirQualityScore,100,2023-01-23 09:45:53
930,AirQualityPercent,80,2023-01-23 09:45:53
929,eCO2,830,2023-01-23 09:45:53
928,Humidity,16,2023-01-23 09:45:53
927,Pressure,103038,2023-01-23 09:45:53
926,Temperature,30.37,2023-01-23 09:45:53
925,AirQualityScore,100,2023-01-23 09:43:45
924,AirQualityPercent,80,2023-01-23 09:43:45
923,eCO2,830,2023-01-23 09:43:45
922,Humidity,17,2023-01-23 09:43:45
921,Pressure,103034,2023-01-23 09:43:45
920,Temperature,28.28,2023-01-23 09:43:45
919,Servo,0,2023-01-23 09:42:33
918,ZIPLEDs,"255,0,255,0",2023-01-23 09:42:29
917,AirQualityScore,95,2023-01-23 09:42:17
916,AirQualityPercent,81,2023-01-23 09:42:17
915,eCO2,781,2023-01-23 09:42:17
914,Humidity,17,2023-01-23 09:42:17
913,Pressure,103033,2023-01-23 09:42:17
